UID,Institution,Applican ID,PEP,Criminal,Expected employment key,Expected occupation key
21501,CAYMAN,11844,NULL,NULL,C,031
21509,CAYMAN,11852,NULL,NULL,C,047
21513,CAYMAN,11856,NULL,NULL,C,009
21567,CAYMAN,11910,NULL,NULL,C,062
21724,CAYMAN,12067,NULL,NULL,C,031
21742,CAYMAN,12085,NULL,NULL,C,055
21743,CAYMAN,12086,NULL,NULL,C,015
21763,CAYMAN,12106,NULL,NULL,C,047
21786,CAYMAN,12129,NULL,NULL,C,029
21788,CAYMAN,12131,NULL,NULL,C,027
21820,CAYMAN,12163,NULL,NULL,C,057
21830,CAYMAN,12173,NULL,NULL,C,066
21874,CAYMAN,12217,NULL,NULL,C,009
21905,CAYMAN,12248,NULL,NULL,C,047
21906,CAYMAN,12249,NULL,NULL,C,047
21907,CAYMAN,12250,NULL,NULL,C,003
21991,CAYMAN,12334,NULL,NULL,C,052
22026,CAYMAN,12369,NULL,NULL,C,057
22103,CAYMAN,12446,NULL,NULL,C,004
22126,CAYMAN,12469,NULL,NULL,C,003
22199,CAYMAN,12542,NULL,NULL,C,027
22217,CAYMAN,12560,NULL,NULL,C,047
22281,CAYMAN,12624,NULL,NULL,C,001
22345,CAYMAN,12688,NULL,NULL,C,031
22484,CAYMAN,12827,NULL,NULL,C,055
22536,CAYMAN,12879,NULL,NULL,C,003
22570,CAYMAN,12913,NULL,NULL,C,047
22593,CAYMAN,12936,NULL,NULL,C,004
22598,CAYMAN,12941,NULL,NULL,C,047
22617,CAYMAN,12960,NULL,NULL,C,003
22695,CAYMAN,13038,NULL,NULL,C,058
22752,CAYMAN,13095,NULL,NULL,C,003
22766,CAYMAN,13109,NULL,NULL,C,029
22792,CAYMAN,13135,NULL,NULL,C,058
22831,TW,13174,NULL,NULL,C,047
22857,CAYMAN,13200,NULL,NULL,C,057
22860,CAYMAN,13203,NULL,NULL,C,059
22862,CAYMAN,13205,NULL,NULL,C,066
22909,CAYMAN,13252,NULL,NULL,C,047
22922,CAYMAN,13265,NULL,NULL,C,003
22978,CAYMAN,13321,NULL,NULL,C,047
23005,CAYMAN,13348,NULL,NULL,C,052
23037,CAYMAN,13380,NULL,NULL,C,009
23054,CAYMAN,13397,NULL,NULL,C,047
23078,CAYMAN,13421,NULL,NULL,C,047
23081,CAYMAN,13424,NULL,NULL,C,047
23098,CAYMAN,13441,NULL,NULL,C,015
